yas_gun,cinsiyet_encoded,dogumKilo,boy,gogusEevresi,kalcaYuksekligi,yemMiktari,sicaklik,nem,saglik_encoded,mevsim_encoded,irk_Esmer,irk_Simental,irk_Siyah Alaca,irk_Yerli Kara,irk_Şarole,kilo,gunlukArtis,hayvanId,yasAy
150,1,51.1,80.1,232.2,78.3,6.8,26.4,60.5,0,1,False,False,False,False,True,268.3,1.203,TR0008,5
0,0,38.4,72.3,33.3,74.1,1.4,34.3,53.3,2,3,False,False,True,False,False,38.4,0.0,TR0009,0
30,0,38.4,73.8,60.2,76.1,2.0,22.7,54.9,1,0,False,False,True,False,False,76.4,1.267,TR0009,1
60,0,38.4,75.7,105.2,75.6,3.4,21.4,68.0,4,0,False,False,True,False,False,123.7,1.574,TR0009,2
90,0,38.4,77.5,142.8,78.1,3.9,24.5,64.3,3,0,False,False,True,False,False,167.3,1.455,TR0009,3
120,0,38.4,79.3,179.9,77.8,5.1,16.3,69.4,3,1,False,False,True,False,False,211.9,1.485,TR0009,4
150,0,38.4,80.9,211.2,81.5,6.5,31.3,69.9,1,1,False,False,True,False,False,251.7,1.326,TR0009,5
180,0,38.4,82.5,246.1,83.0,7.5,17.4,71.3,2,1,False,False,True,False,False,293.7,1.403,TR0009,6
210,0,38.4,84.1,286.0,82.9,8.4,18.7,72.3,3,2,False,False,True,False,False,332.1,1.278,TR0009,7
240,0,38.4,85.6,319.5,85.7,8.9,33.8,42.5,4,2,False,False,True,False,False,371.1,1.3,TR0009,8
270,0,38.4,87.2,352.1,87.6,10.5,15.5,57.4,4,2,False,False,True,False,False,410.6,1.317,TR0009,9
300,0,38.4,88.7,384.0,91.3,11.5,22.9,41.1,2,3,False,False,True,False,False,447.8,1.238,TR0009,10
330,0,38.4,90.0,405.7,88.0,12.2,24.1,52.9,1,3,False,False,True,False,False,479.9,1.07,TR0009,11
360,0,38.4,91.5,438.4,91.6,13.4,17.7,47.5,3,3,False,False,True,False,False,518.6,1.292,TR0009,12
390,0,38.4,93.1,470.4,93.0,13.7,32.2,55.4,4,3,False,False,True,False,False,558.6,1.332,TR0009,13
420,0,38.4,94.5,508.4,93.0,14.7,26.0,68.3,3,0,False,False,True,False,False,593.1,1.15,TR0009,14
450,0,38.4,96.0,535.2,96.6,16.2,23.6,47.3,4,0,False,False,True,False,False,629.4,1.212,TR0009,15
480,0,38.4,97.4,567.6,99.8,16.4,30.0,70.7,3,0,False,False,True,False,False,664.1,1.154,TR0009,16
510,0,38.4,98.9,601.2,97.8,17.5,22.3,50.0,4,1,False,False,True,False,False,702.0,1.266,TR0009,17
540,0,38.4,100.2,620.8,100.5,18.4,28.9,61.5,3,1,False,False,True,False,False,735.2,1.105,TR0009,18
570,0,38.4,101.6,651.7,101.0,19.3,15.0,79.9,4,1,False,False,True,False,False,771.0,1.193,TR0009,19
600,0,38.4,102.6,678.9,103.0,20.3,17.3,49.7,1,2,False,False,True,False,False,795.5,0.816,TR0009,20
630,0,38.4,103.7,699.9,103.4,20.7,29.3,74.5,3,2,False,False,True,False,False,823.6,0.936,TR0009,21
660,0,38.4,104.8,725.3,104.3,21.6,26.5,68.3,2,2,False,False,True,False,False,850.3,0.892,TR0009,22
690,0,38.4,106.0,745.5,108.7,21.6,22.8,68.4,2,3,False,False,True,False,False,879.0,0.957,TR0009,23
0,1,34.1,73.4,31.1,74.9,1.0,21.0,65.9,2,0,False,False,False,True,False,34.1,0.0,TR0010,0
30,1,34.1,75.1,61.0,76.8,2.4,32.3,69.8,2,0,False,False,False,True,False,75.7,1.387,TR0010,1
60,1,34.1,76.9,108.4,77.3,2.6,28.0,61.3,2,1,False,False,False,True,False,122.0,1.542,TR0010,2
90,1,34.1,78.3,130.6,76.6,4.0,16.5,54.8,0,1,False,False,False,True,False,157.3,1.176,TR0010,3
0,1,42.8,75.1,40.8,75.0,0.7,26.6,65.6,2,3,False,False,False,False,True,42.8,0.0,TR0011,0
30,1,42.8,77.0,81.7,75.3,2.4,34.2,58.1,3,0,False,False,False,False,True,90.3,1.584,TR0011,1
60,1,42.8,78.9,117.2,78.1,3.9,25.6,59.0,2,0,False,False,False,False,True,139.0,1.621,TR0011,2
90,1,42.8,80.6,155.9,80.7,4.4,32.0,73.9,1,0,False,False,False,False,True,180.1,1.369,TR0011,3
120,1,42.8,82.7,195.2,81.9,5.8,20.6,76.6,3,1,False,False,False,False,True,232.8,1.759,TR0011,4
150,1,42.8,84.7,237.4,84.7,6.7,20.5,53.5,3,1,False,False,False,False,True,283.9,1.702,TR0011,5
180,1,42.8,86.6,284.1,86.0,7.9,24.9,57.2,2,1,False,False,False,False,True,330.5,1.553,TR0011,6
210,1,42.8,88.4,321.2,88.0,9.1,30.0,72.1,3,2,False,False,False,False,True,375.8,1.51,TR0011,7
240,1,42.8,90.0,353.8,92.1,9.9,20.4,49.3,3,2,False,False,False,False,True,416.6,1.36,TR0011,8
270,1,42.8,91.8,387.7,93.9,11.0,24.8,55.5,3,2,False,False,False,False,True,460.0,1.449,TR0011,9
300,1,42.8,93.4,428.0,92.1,12.8,28.0,72.8,3,3,False,False,False,False,True,501.8,1.393,TR0011,10
330,1,42.8,95.2,464.0,93.4,13.6,19.2,40.8,3,3,False,False,False,False,True,546.2,1.478,TR0011,11
360,1,42.8,96.7,496.3,96.6,15.0,23.4,76.7,2,3,False,False,False,False,True,583.4,1.239,TR0011,12
390,1,42.8,98.4,528.9,101.0,15.9,23.9,79.4,4,0,False,False,False,False,True,625.5,1.406,TR0011,13
420,1,42.8,99.9,559.1,102.0,16.9,19.4,74.5,3,0,False,False,False,False,True,662.7,1.24,TR0011,14
450,1,42.8,101.3,591.5,99.5,17.5,30.3,52.9,3,0,False,False,False,False,True,698.0,1.176,TR0011,15
480,1,42.8,102.8,625.9,105.1,18.0,28.1,62.1,2,1,False,False,False,False,True,736.6,1.285,TR0011,16
510,1,42.8,104.5,659.8,105.8,19.7,21.0,57.8,4,1,False,False,False,False,True,778.2,1.386,TR0011,17
0,1,47.7,82.7,40.7,81.4,0.8,16.5,69.4,4,1,False,False,True,False,False,47.7,0.0,TR0012,0
30,1,47.7,85.0,92.5,85.3,2.8,20.1,60.1,4,1,False,False,True,False,False,105.0,1.91,TR0012,1
60,1,47.7,87.2,135.9,90.0,3.5,27.2,74.8,4,1,False,False,True,False,False,158.9,1.799,TR0012,2
90,1,47.7,89.1,175.5,90.5,5.1,17.5,57.9,3,2,False,False,True,False,False,206.6,1.589,TR0012,3
120,1,47.7,90.9,219.5,89.7,6.1,29.5,47.5,3,2,False,False,True,False,False,252.5,1.531,TR0012,4
150,1,47.7,92.7,247.0,95.0,7.0,23.6,46.3,2,2,False,False,True,False,False,296.0,1.45,TR0012,5
180,1,47.7,94.5,289.4,96.1,9.0,27.5,73.3,3,2,False,False,True,False,False,341.4,1.514,TR0012,6
210,1,47.7,96.3,330.5,94.5,10.2,25.0,55.3,3,3,False,False,True,False,False,388.2,1.559,TR0012,7
240,1,47.7,98.3,371.8,98.8,11.3,15.0,72.7,4,3,False,False,True,False,False,436.2,1.601,TR0012,8
270,1,47.7,100.1,408.1,100.1,12.3,20.6,60.7,4,3,False,False,True,False,False,481.2,1.497,TR0012,9
300,1,47.7,101.7,449.0,102.2,13.1,20.3,45.5,3,0,False,False,True,False,False,522.4,1.376,TR0012,10
330,1,47.7,103.3,477.1,101.9,14.2,15.4,77.0,3,0,False,False,True,False,False,562.4,1.332,TR0012,11
360,1,47.7,105.0,518.5,104.2,15.4,18.7,55.5,4,0,False,False,True,False,False,604.5,1.403,TR0012,12
390,1,47.7,106.6,552.0,108.9,16.6,33.9,49.3,2,1,False,False,True,False,False,644.4,1.329,TR0012,13
420,1,47.7,108.4,581.5,109.5,16.8,19.5,61.5,4,1,False,False,True,False,False,688.9,1.484,TR0012,14
450,1,47.7,110.0,624.5,109.5,18.2,15.7,60.3,3,1,False,False,True,False,False,729.6,1.356,TR0012,15
480,1,47.7,111.5,653.1,112.8,18.8,25.3,41.8,3,2,False,False,True,False,False,766.1,1.215,TR0012,16
510,1,47.7,112.8,679.3,114.9,19.9,26.3,60.5,2,2,False,False,True,False,False,798.8,1.092,TR0012,17
540,1,47.7,113.9,703.2,116.1,20.7,23.3,46.1,1,2,False,False,True,False,False,827.6,0.96,TR0012,18
570,1,47.7,115.3,733.0,115.2,21.8,34.9,75.2,2,3,False,False,True,False,False,861.1,1.117,TR0012,19
600,1,47.7,116.8,762.7,119.5,22.8,16.3,76.7,4,3,False,False,True,False,False,898.9,1.259,TR0012,20
630,1,47.7,118.2,798.6,117.5,23.7,23.0,65.6,4,3,False,False,True,False,False,934.4,1.184,TR0012,21
660,1,47.7,119.6,821.2,120.2,24.3,34.8,55.6,4,0,False,False,True,False,False,968.5,1.136,TR0012,22
690,1,47.7,120.8,851.5,120.6,24.8,18.1,53.9,3,0,False,False,True,False,False,1000.4,1.062,TR0012,23
0,0,41.2,80.3,32.6,80.9,0.6,18.5,48.6,2,0,False,False,True,False,False,41.2,0.0,TR0013,0
30,0,41.2,82.4,83.3,81.9,2.1,21.4,47.7,4,1,False,False,True,False,False,92.8,1.721,TR0013,1
60,0,41.2,84.0,113.6,85.8,3.7,31.9,43.3,1,1,False,False,True,False,False,134.4,1.386,TR0013,2
90,0,41.2,85.7,151.5,87.0,4.6,18.7,60.6,1,1,False,False,True,False,False,174.8,1.345,TR0013,3
120,0,41.2,87.3,178.4,88.2,5.5,26.3,71.8,2,2,False,False,True,False,False,215.1,1.344,TR0013,4
150,0,41.2,88.7,211.3,89.5,6.7,30.0,55.7,1,2,False,False,True,False,False,250.5,1.18,TR0013,5
180,0,41.2,90.3,241.6,90.9,7.6,29.9,74.4,2,2,False,False,True,False,False,289.8,1.311,TR0013,6
210,0,41.2,91.9,277.1,93.0,7.9,30.4,70.5,2,3,False,False,True,False,False,330.1,1.341,TR0013,7
240,0,41.2,93.6,317.5,91.6,9.1,31.1,50.3,4,3,False,False,True,False,False,372.8,1.425,TR0013,8
270,0,41.2,94.7,344.3,97.1,9.8,28.5,66.3,0,3,False,False,True,False,False,400.7,0.93,TR0013,9
300,0,41.2,96.2,370.8,97.2,10.6,30.6,63.3,3,0,False,False,True,False,False,437.2,1.217,TR0013,10
330,0,41.2,97.6,401.3,96.4,11.8,16.5,69.1,3,0,False,False,True,False,False,474.2,1.233,TR0013,11
360,0,41.2,99.1,429.1,98.7,12.4,15.8,44.4,3,0,False,False,True,False,False,510.4,1.208,TR0013,12
390,0,41.2,100.2,459.6,99.5,13.7,24.4,70.2,0,1,False,False,True,False,False,538.8,0.944,TR0013,13
420,0,41.2,101.7,488.8,104.1,13.9,19.5,64.5,4,1,False,False,True,False,False,577.0,1.274,TR0013,14
450,0,41.2,103.3,528.3,106.0,15.1,21.3,75.2,4,1,False,False,True,False,False,616.6,1.32,TR0013,15
480,0,41.2,104.8,555.9,103.4,16.6,27.4,69.9,3,1,False,False,True,False,False,652.2,1.187,TR0013,16
510,0,41.2,106.1,580.8,108.4,17.6,33.9,76.1,4,2,False,False,True,False,False,686.6,1.148,TR0013,17
540,0,41.2,107.5,616.5,110.2,17.9,33.5,49.9,4,2,False,False,True,False,False,719.9,1.109,TR0013,18
570,0,41.2,108.6,633.1,109.2,18.8,23.8,74.5,2,2,False,False,True,False,False,747.9,0.933,TR0013,19
600,0,41.2,109.9,659.5,108.1,19.1,21.7,47.3,3,3,False,False,True,False,False,779.6,1.058,TR0013,20
630,0,41.2,111.1,691.4,110.3,20.3,18.6,52.8,4,3,False,False,True,False,False,811.7,1.07,TR0013,21
660,0,41.2,112.2,711.2,114.3,20.9,18.4,40.7,1,3,False,False,True,False,False,837.3,0.852,TR0013,22
690,0,41.2,113.3,736.9,111.8,21.4,18.3,62.0,4,0,False,False,True,False,False,865.9,0.954,TR0013,23
0,0,39.0,78.8,33.8,77.9,1.3,15.9,73.0,1,0,True,False,False,False,False,39.0,0.0,TR0014,0
30,0,39.0,80.5,64.5,79.7,2.1,28.5,53.6,3,0,True,False,False,False,False,80.1,1.372,TR0014,1
60,0,39.0,82.2,100.8,83.9,2.9,18.1,79.9,3,0,True,False,False,False,False,122.2,1.401,TR0014,2
90,0,39.0,83.9,138.1,86.1,3.8,29.4,47.7,4,1,True,False,False,False,False,166.5,1.477,TR0014,3
120,0,39.0,85.6,178.3,84.7,4.7,34.6,53.3,2,1,True,False,False,False,False,207.2,1.357,TR0014,4
0,1,40.3,78.4,36.5,81.0,0.7,28.0,64.0,2,0,False,False,False,True,False,40.3,0.0,TR0015,0
30,1,40.3,80.1,71.4,81.4,2.5,24.5,53.7,2,0,False,False,False,True,False,82.9,1.421,TR0015,1
60,1,40.3,81.9,109.4,80.5,3.1,29.6,70.0,2,0,False,False,False,True,False,127.7,1.494,TR0015,2
90,1,40.3,83.6,149.0,84.3,3.8,20.2,46.8,2,0,False,False,False,True,False,170.0,1.41,TR0015,3
120,1,40.3,85.4,181.1,84.0,5.6,28.2,48.9,2,1,False,False,False,True,False,215.5,1.517,TR0015,4
150,1,40.3,87.3,228.4,86.8,6.4,30.5,77.3,3,1,False,False,False,True,False,263.1,1.585,TR0015,5
180,1,40.3,89.0,255.4,89.5,8.1,19.6,68.4,2,1,False,False,False,True,False,304.9,1.396,TR0015,6
210,1,40.3,90.7,290.4,89.7,8.3,18.9,44.2,4,2,False,False,False,True,False,347.4,1.417,TR0015,7
240,1,40.3,92.3,335.4,90.5,9.3,23.3,65.9,4,2,False,False,False,True,False,389.3,1.396,TR0015,8
270,1,40.3,93.8,365.6,92.9,11.0,32.7,45.9,2,2,False,False,False,True,False,426.1,1.226,TR0015,9
