id,hayvanId,tarih,yasAy,kilo,boy,gogusEevresi,kalcaYuksekligi,saglikDurumu,yemMiktari,sicaklik,nem,mevsim,notlar,gunlukArtis
GK000508,TR0005,2023-04-01,7,374.4,94.4,321.7,94.0,Normal,9.7,27.6,79.9,İlkbahar,"Simental - 7 aylık, Normal sağlık",1.588
GK000509,TR0005,2023-05-01,8,420.3,96.3,354.8,96.3,İyi,10.3,21.9,68.9,İlkbahar,"Simental - 8 aylık, İyi sağlık",1.532
GK000510,TR0005,2023-05-31,9,470.9,98.3,401.7,98.0,Mükemmel,11.6,16.3,62.7,İlkbahar,"Simental - 9 aylık, Mükemmel sağlık",1.687
GK000511,TR0005,2023-06-30,10,512.0,99.9,433.9,102.0,İyi,13.1,32.3,41.0,Yaz,"Simental - 10 aylık, İyi sağlık",1.37
GK000512,TR0005,2023-07-30,11,549.4,101.4,471.8,104.2,Normal,13.7,30.5,53.7,Yaz,"Simental - 11 aylık, Normal sağlık",1.245
GK000513,TR0005,2023-08-29,12,586.8,102.9,500.4,102.0,Normal,14.9,24.7,41.3,Yaz,"Simental - 12 aylık, Normal sağlık",1.247
GK000514,TR0005,2023-09-28,13,627.9,104.6,533.8,103.6,İyi,15.9,26.6,69.3,Sonbahar,"Simental - 13 aylık, İyi sağlık",1.37
GK000515,TR0005,2023-10-28,14,668.1,106.2,565.4,107.8,İyi,16.4,25.8,77.4,Sonbahar,"Simental - 14 aylık, İyi sağlık",1.339
GK000516,TR0005,2023-11-27,15,707.3,107.7,598.8,107.1,İyi,18.2,19.8,67.0,Sonbahar,"Simental - 15 aylık, İyi sağlık",1.308
GK000517,TR0005,2023-12-27,16,747.0,109.3,636.5,109.5,Mükemmel,18.3,21.0,56.6,Kış,"Simental - 16 aylık, Mükemmel sağlık",1.322
GK000518,TR0005,2024-01-26,17,784.0,110.8,669.7,113.4,Mükemmel,19.8,30.4,79.4,Kış,"Simental - 17 aylık, Mükemmel sağlık",1.234
GK000519,TR0005,2024-02-25,18,814.0,112.0,690.2,112.6,Zayıf,20.4,32.5,77.0,Kış,"Simental - 18 aylık, Zayıf sağlık",1.001
GK000520,TR0005,2024-03-26,19,853.4,113.6,727.9,113.2,Mükemmel,21.7,34.4,71.5,İlkbahar,"Simental - 19 aylık, Mükemmel sağlık",1.311
GK000521,TR0005,2024-04-25,20,888.8,115.0,752.5,115.0,İyi,22.5,26.1,54.8,İlkbahar,"Simental - 20 aylık, İyi sağlık",1.181
GK000522,TR0005,2024-05-25,21,924.9,116.4,783.1,115.8,Mükemmel,22.8,31.8,53.1,İlkbahar,"Simental - 21 aylık, Mükemmel sağlık",1.203
GK000523,TR0005,2024-06-24,22,958.0,117.8,817.9,118.0,Mükemmel,24.4,23.1,49.5,Yaz,"Simental - 22 aylık, Mükemmel sağlık",1.104
GK000524,TR0005,2024-07-24,23,990.4,119.1,839.2,120.4,Mükemmel,24.6,27.5,66.9,Yaz,"Simental - 23 aylık, Mükemmel sağlık",1.081
GK000601,TR0006,2024-11-01,0,36.3,81.3,27.8,80.2,Normal,0.7,22.5,59.9,Sonbahar,"Esmer - 0 aylık, Normal sağlık",0.0
GK000602,TR0006,2024-12-01,1,81.5,83.1,71.2,85.4,İyi,2.4,28.3,71.7,Kış,"Esmer - 1 aylık, İyi sağlık",1.508
GK000603,TR0006,2024-12-31,2,120.0,84.6,104.2,85.5,Zayıf,3.4,15.5,46.4,Kış,"Esmer - 2 aylık, Zayıf sağlık",1.281
GK000604,TR0006,2025-01-30,3,164.4,86.4,141.3,88.4,İyi,4.5,28.0,53.8,Kış,"Esmer - 3 aylık, İyi sağlık",1.481
GK000605,TR0006,2025-03-01,4,208.5,88.2,176.6,87.8,Normal,5.2,23.5,71.0,İlkbahar,"Esmer - 4 aylık, Normal sağlık",1.471
GK000606,TR0006,2025-03-31,5,257.8,90.1,220.4,89.5,Mükemmel,6.0,30.8,42.2,İlkbahar,"Esmer - 5 aylık, Mükemmel sağlık",1.641
GK000607,TR0006,2025-04-30,6,298.9,91.8,257.1,90.7,Normal,7.8,27.5,65.2,İlkbahar,"Esmer - 6 aylık, Normal sağlık",1.371
GK000701,TR0007,2024-02-23,0,32.3,73.3,26.4,72.2,Zayıf,1.2,33.6,53.2,Kış,"Yerli Kara - 0 aylık, Zayıf sağlık",0.0
GK000702,TR0007,2024-03-24,1,75.7,75.0,62.1,77.6,Normal,2.2,17.5,58.4,İlkbahar,"Yerli Kara - 1 aylık, Normal sağlık",1.446
GK000703,TR0007,2024-04-23,2,113.5,76.5,93.4,76.7,Zayıf,2.7,17.4,53.5,İlkbahar,"Yerli Kara - 2 aylık, Zayıf sağlık",1.26
GK000704,TR0007,2024-05-23,3,154.7,78.2,132.0,77.6,Normal,4.0,18.7,54.5,İlkbahar,"Yerli Kara - 3 aylık, Normal sağlık",1.376
GK000705,TR0007,2024-06-22,4,186.1,79.4,154.8,77.8,Zayıf,4.5,21.9,50.3,Yaz,"Yerli Kara - 4 aylık, Zayıf sağlık",1.044
GK000706,TR0007,2024-07-22,5,222.6,80.9,193.4,80.5,İyi,5.1,31.6,75.4,Yaz,"Yerli Kara - 5 aylık, İyi sağlık",1.219
GK000707,TR0007,2024-08-21,6,261.4,82.4,227.0,83.2,İyi,6.5,30.9,64.3,Yaz,"Yerli Kara - 6 aylık, İyi sağlık",1.292
GK000708,TR0007,2024-09-20,7,303.9,84.1,258.3,84.4,Mükemmel,7.6,16.6,41.8,Sonbahar,"Yerli Kara - 7 aylık, Mükemmel sağlık",1.416
GK000709,TR0007,2024-10-20,8,337.4,85.5,287.9,88.0,Zayıf,8.5,34.0,68.8,Sonbahar,"Yerli Kara - 8 aylık, Zayıf sağlık",1.119
GK000710,TR0007,2024-11-19,9,373.7,86.9,317.5,85.0,İyi,9.5,19.9,50.9,Sonbahar,"Yerli Kara - 9 aylık, İyi sağlık",1.208
GK000711,TR0007,2024-12-19,10,410.3,88.4,347.3,87.9,İyi,9.9,25.4,66.1,Kış,"Yerli Kara - 10 aylık, İyi sağlık",1.219
GK000712,TR0007,2025-01-18,11,443.8,89.7,377.3,90.3,İyi,10.7,30.1,41.8,Kış,"Yerli Kara - 11 aylık, İyi sağlık",1.119
GK000713,TR0007,2025-02-17,12,476.1,91.0,408.0,90.0,İyi,12.1,32.5,55.5,Kış,"Yerli Kara - 12 aylık, İyi sağlık",1.074
GK000714,TR0007,2025-03-19,13,515.1,92.6,438.7,94.7,Mükemmel,13.3,24.3,69.0,İlkbahar,"Yerli Kara - 13 aylık, Mükemmel sağlık",1.299
GK000715,TR0007,2025-04-18,14,552.5,94.1,471.2,95.7,Mükemmel,14.1,25.4,42.5,İlkbahar,"Yerli Kara - 14 aylık, Mükemmel sağlık",1.247
GK000801,TR0008,2024-11-30,0,51.1,71.4,39.8,73.1,Zayıf,0.9,23.4,55.0,Sonbahar,"Şarole - 0 aylık, Zayıf sağlık",0.0
GK000802,TR0008,2024-12-30,1,97.7,73.3,80.0,74.6,Normal,2.2,29.7,48.1,Kış,"Şarole - 1 aylık, Normal sağlık",1.555
GK000803,TR0008,2025-01-29,2,145.8,75.2,122.0,77.2,Normal,4.0,30.4,73.6,Kış,"Şarole - 2 aylık, Normal sağlık",1.603
GK000804,TR0008,2025-02-28,3,185.2,76.8,153.5,76.7,Zayıf,4.2,27.0,46.6,Kış,"Şarole - 3 aylık, Zayıf sağlık",1.315
GK000805,TR0008,2025-03-30,4,232.2,78.7,202.0,80.6,Normal,5.9,22.4,65.5,İlkbahar,"Şarole - 4 aylık, Normal sağlık",1.567
GK000806,TR0008,2025-04-29,5,268.3,80.1,232.2,78.3,Hasta,6.8,26.4,60.5,İlkbahar,"Şarole - 5 aylık, Hasta sağlık",1.203
GK000901,TR0009,2022-11-05,0,38.4,72.3,33.3,74.1,Normal,1.4,34.3,53.3,Sonbahar,"Siyah Alaca - 0 aylık, Normal sağlık",0.0
GK000902,TR0009,2022-12-05,1,76.4,73.8,60.2,76.1,Zayıf,2.0,22.7,54.9,Kış,"Siyah Alaca - 1 aylık, Zayıf sağlık",1.267
GK000903,TR0009,2023-01-04,2,123.7,75.7,105.2,75.6,Mükemmel,3.4,21.4,68.0,Kış,"Siyah Alaca - 2 aylık, Mükemmel sağlık",1.574
GK000904,TR0009,2023-02-03,3,167.3,77.5,142.8,78.1,İyi,3.9,24.5,64.3,Kış,"Siyah Alaca - 3 aylık, İyi sağlık",1.455
GK000905,TR0009,2023-03-05,4,211.9,79.3,179.9,77.8,İyi,5.1,16.3,69.4,İlkbahar,"Siyah Alaca - 4 aylık, İyi sağlık",1.485
GK000906,TR0009,2023-04-04,5,251.7,80.9,211.2,81.5,Zayıf,6.5,31.3,69.9,İlkbahar,"Siyah Alaca - 5 aylık, Zayıf sağlık",1.326
GK000907,TR0009,2023-05-04,6,293.7,82.5,246.1,83.0,Normal,7.5,17.4,71.3,İlkbahar,"Siyah Alaca - 6 aylık, Normal sağlık",1.403
GK000908,TR0009,2023-06-03,7,332.1,84.1,286.0,82.9,İyi,8.4,18.7,72.3,Yaz,"Siyah Alaca - 7 aylık, İyi sağlık",1.278
GK000909,TR0009,2023-07-03,8,371.1,85.6,319.5,85.7,Mükemmel,8.9,33.8,42.5,Yaz,"Siyah Alaca - 8 aylık, Mükemmel sağlık",1.3
GK000910,TR0009,2023-08-02,9,410.6,87.2,352.1,87.6,Mükemmel,10.5,15.5,57.4,Yaz,"Siyah Alaca - 9 aylık, Mükemmel sağlık",1.317
GK000911,TR0009,2023-09-01,10,447.8,88.7,384.0,91.3,Normal,11.5,22.9,41.1,Sonbahar,"Siyah Alaca - 10 aylık, Normal sağlık",1.238
GK000912,TR0009,2023-10-01,11,479.9,90.0,405.7,88.0,Zayıf,12.2,24.1,52.9,Sonbahar,"Siyah Alaca - 11 aylık, Zayıf sağlık",1.07
GK000913,TR0009,2023-10-31,12,518.6,91.5,438.4,91.6,İyi,13.4,17.7,47.5,Sonbahar,"Siyah Alaca - 12 aylık, İyi sağlık",1.292
GK000914,TR0009,2023-11-30,13,558.6,93.1,470.4,93.0,Mükemmel,13.7,32.2,55.4,Sonbahar,"Siyah Alaca - 13 aylık, Mükemmel sağlık",1.332
GK000915,TR0009,2023-12-30,14,593.1,94.5,508.4,93.0,İyi,14.7,26.0,68.3,Kış,"Siyah Alaca - 14 aylık, İyi sağlık",1.15
GK000916,TR0009,2024-01-29,15,629.4,96.0,535.2,96.6,Mükemmel,16.2,23.6,47.3,Kış,"Siyah Alaca - 15 aylık, Mükemmel sağlık",1.212
GK000917,TR0009,2024-02-28,16,664.1,97.4,567.6,99.8,İyi,16.4,30.0,70.7,Kış,"Siyah Alaca - 16 aylık, İyi sağlık",1.154
GK000918,TR0009,2024-03-29,17,702.0,98.9,601.2,97.8,Mükemmel,17.5,22.3,50.0,İlkbahar,"Siyah Alaca - 17 aylık, Mükemmel sağlık",1.266
GK000919,TR0009,2024-04-28,18,735.2,100.2,620.8,100.5,İyi,18.4,28.9,61.5,İlkbahar,"Siyah Alaca - 18 aylık, İyi sağlık",1.105
GK000920,TR0009,2024-05-28,19,771.0,101.6,651.7,101.0,Mükemmel,19.3,15.0,79.9,İlkbahar,"Siyah Alaca - 19 aylık, Mükemmel sağlık",1.193
GK000921,TR0009,2024-06-27,20,795.5,102.6,678.9,103.0,Zayıf,20.3,17.3,49.7,Yaz,"Siyah Alaca - 20 aylık, Zayıf sağlık",0.816
GK000922,TR0009,2024-07-27,21,823.6,103.7,699.9,103.4,İyi,20.7,29.3,74.5,Yaz,"Siyah Alaca - 21 aylık, İyi sağlık",0.936
GK000923,TR0009,2024-08-26,22,850.3,104.8,725.3,104.3,Normal,21.6,26.5,68.3,Yaz,"Siyah Alaca - 22 aylık, Normal sağlık",0.892
GK000924,TR0009,2024-09-25,23,879.0,106.0,745.5,108.7,Normal,21.6,22.8,68.4,Sonbahar,"Siyah Alaca - 23 aylık, Normal sağlık",0.957
GK001001,TR0010,2025-01-29,0,34.1,73.4,31.1,74.9,Normal,1.0,21.0,65.9,Kış,"Yerli Kara - 0 aylık, Normal sağlık",0.0
GK001002,TR0010,2025-02-28,1,75.7,75.1,61.0,76.8,Normal,2.4,32.3,69.8,Kış,"Yerli Kara - 1 aylık, Normal sağlık",1.387
GK001003,TR0010,2025-03-30,2,122.0,76.9,108.4,77.3,Normal,2.6,28.0,61.3,İlkbahar,"Yerli Kara - 2 aylık, Normal sağlık",1.542
GK001004,TR0010,2025-04-29,3,157.3,78.3,130.6,76.6,Hasta,4.0,16.5,54.8,İlkbahar,"Yerli Kara - 3 aylık, Hasta sağlık",1.176
GK001101,TR0011,2023-11-26,0,42.8,75.1,40.8,75.0,Normal,0.7,26.6,65.6,Sonbahar,"Şarole - 0 aylık, Normal sağlık",0.0
GK001102,TR0011,2023-12-26,1,90.3,77.0,81.7,75.3,İyi,2.4,34.2,58.1,Kış,"Şarole - 1 aylık, İyi sağlık",1.584
GK001103,TR0011,2024-01-25,2,139.0,78.9,117.2,78.1,Normal,3.9,25.6,59.0,Kış,"Şarole - 2 aylık, Normal sağlık",1.621
GK001104,TR0011,2024-02-24,3,180.1,80.6,155.9,80.7,Zayıf,4.4,32.0,73.9,Kış,"Şarole - 3 aylık, Zayıf sağlık",1.369
GK001105,TR0011,2024-03-25,4,232.8,82.7,195.2,81.9,İyi,5.8,20.6,76.6,İlkbahar,"Şarole - 4 aylık, İyi sağlık",1.759
GK001106,TR0011,2024-04-24,5,283.9,84.7,237.4,84.7,İyi,6.7,20.5,53.5,İlkbahar,"Şarole - 5 aylık, İyi sağlık",1.702
GK001107,TR0011,2024-05-24,6,330.5,86.6,284.1,86.0,Normal,7.9,24.9,57.2,İlkbahar,"Şarole - 6 aylık, Normal sağlık",1.553
GK001108,TR0011,2024-06-23,7,375.8,88.4,321.2,88.0,İyi,9.1,30.0,72.1,Yaz,"Şarole - 7 aylık, İyi sağlık",1.51
GK001109,TR0011,2024-07-23,8,416.6,90.0,353.8,92.1,İyi,9.9,20.4,49.3,Yaz,"Şarole - 8 aylık, İyi sağlık",1.36
GK001110,TR0011,2024-08-22,9,460.0,91.8,387.7,93.9,İyi,11.0,24.8,55.5,Yaz,"Şarole - 9 aylık, İyi sağlık",1.449
GK001111,TR0011,2024-09-21,10,501.8,93.4,428.0,92.1,İyi,12.8,28.0,72.8,Sonbahar,"Şarole - 10 aylık, İyi sağlık",1.393
GK001112,TR0011,2024-10-21,11,546.2,95.2,464.0,93.4,İyi,13.6,19.2,40.8,Sonbahar,"Şarole - 11 aylık, İyi sağlık",1.478
GK001113,TR0011,2024-11-20,12,583.4,96.7,496.3,96.6,Normal,15.0,23.4,76.7,Sonbahar,"Şarole - 12 aylık, Normal sağlık",1.239
GK001114,TR0011,2024-12-20,13,625.5,98.4,528.9,101.0,Mükemmel,15.9,23.9,79.4,Kış,"Şarole - 13 aylık, Mükemmel sağlık",1.406
GK001115,TR0011,2025-01-19,14,662.7,99.9,559.1,102.0,İyi,16.9,19.4,74.5,Kış,"Şarole - 14 aylık, İyi sağlık",1.24
GK001116,TR0011,2025-02-18,15,698.0,101.3,591.5,99.5,İyi,17.5,30.3,52.9,Kış,"Şarole - 15 aylık, İyi sağlık",1.176
GK001117,TR0011,2025-03-20,16,736.6,102.8,625.9,105.1,Normal,18.0,28.1,62.1,İlkbahar,"Şarole - 16 aylık, Normal sağlık",1.285
GK001118,TR0011,2025-04-19,17,778.2,104.5,659.8,105.8,Mükemmel,19.7,21.0,57.8,İlkbahar,"Şarole - 17 aylık, Mükemmel sağlık",1.386
GK001201,TR0012,2023-03-04,0,47.7,82.7,40.7,81.4,Mükemmel,0.8,16.5,69.4,İlkbahar,"Siyah Alaca - 0 aylık, Mükemmel sağlık",0.0
